area,ethnic_group,value
Temuka West,European or Other (including New Zealander),2000
Temuka West,Maori,260
Temuka West,Pacific,30
Temuka West,Asian,90
Temuka West,Middle Eastern/Latin American/African,10
Hadlow,"Total people, ethnic group",1470
Hadlow,European or Other (including New Zealander),1450
Hadlow,Maori,70
Hadlow,Pacific,0
Hadlow,Asian,20
Hadlow,Middle Eastern/Latin American/African,0
Levels,"Total people, ethnic group",1250
Levels,European or Other (including New Zealander),1160
Levels,Maori,110
Levels,Pacific,20
Levels,Asian,20
Levels,Middle Eastern/Latin American/African,10
Temuka East,"Total people, ethnic group",2380
Temuka East,European or Other (including New Zealander),2180
Temuka East,Maori,320
Temuka East,Pacific,40
Temuka East,Asian,80
Temuka East,Middle Eastern/Latin American/African,0
Gleniti North,"Total people, ethnic group",1520
Gleniti North,European or Other (including New Zealander),1450
Gleniti North,Maori,60
Gleniti North,Pacific,30
Gleniti North,Asian,40
Gleniti North,Middle Eastern/Latin American/African,10
Washdyke,"Total people, ethnic group",1050
Washdyke,European or Other (including New Zealander),950
Washdyke,Maori,100
Washdyke,Pacific,30
Washdyke,Asian,50
Washdyke,Middle Eastern/Latin American/African,10
Fairview,"Total people, ethnic group",1670
Fairview,European or Other (including New Zealander),1570
Fairview,Maori,170
Fairview,Pacific,40
Fairview,Asian,40
Fairview,Middle Eastern/Latin American/African,10
Gleniti South,"Total people, ethnic group",2480
Gleniti South,European or Other (including New Zealander),2320
Gleniti South,Maori,130
Gleniti South,Pacific,20
Gleniti South,Asian,120
Gleniti South,Middle Eastern/Latin American/African,10
Glenwood,"Total people, ethnic group",1850
Glenwood,European or Other (including New Zealander),1590
Glenwood,Maori,210
Glenwood,Pacific,40
Glenwood,Asian,150
Glenwood,Middle Eastern/Latin American/African,10
Marchwiel West,"Total people, ethnic group",1580
Marchwiel West,European or Other (including New Zealander),1400
Marchwiel West,Maori,180
Marchwiel West,Pacific,70
Marchwiel West,Asian,80
Marchwiel West,Middle Eastern/Latin American/African,0
Marchwiel East,"Total people, ethnic group",2030
Marchwiel East,European or Other (including New Zealander),1800
Marchwiel East,Maori,240
Marchwiel East,Pacific,50
Marchwiel East,Asian,90
Marchwiel East,Middle Eastern/Latin American/African,10
Highfield North,"Total people, ethnic group",2390
Highfield North,European or Other (including New Zealander),2200
Highfield North,Maori,140
Highfield North,Pacific,50
Highfield North,Asian,110
Highfield North,Middle Eastern/Latin American/African,20
Highfield South,"Total people, ethnic group",1290
Highfield South,European or Other (including New Zealander),1190
Highfield South,Maori,110
Highfield South,Pacific,10
Highfield South,Asian,60
Highfield South,Middle Eastern/Latin American/African,10
Waimataitai-Maori Hill,"Total people, ethnic group",2100
Waimataitai-Maori Hill,European or Other (including New Zealander),1870
Waimataitai-Maori Hill,Maori,190
Waimataitai-Maori Hill,Pacific,50
Waimataitai-Maori Hill,Asian,140
Waimataitai-Maori Hill,Middle Eastern/Latin American/African,10
Fraser Park,"Total people, ethnic group",2840
Fraser Park,European or Other (including New Zealander),2580
Fraser Park,Maori,280
Fraser Park,Pacific,80
Fraser Park,Asian,140
Fraser Park,Middle Eastern/Latin American/African,10
Seaview,"Total people, ethnic group",2170
Seaview,European or Other (including New Zealander),1870
Seaview,Maori,260
Seaview,Pacific,70
Seaview,Asian,160
Seaview,Middle Eastern/Latin American/African,10
Inlet Port Timaru,"Total people, ethnic group",0
Inlet Port Timaru,European or Other (including New Zealander),0
Inlet Port Timaru,Maori,0
Inlet Port Timaru,Pacific,0
Inlet Port Timaru,Asian,0
Inlet Port Timaru,Middle Eastern/Latin American/African,0
Watlington,"Total people, ethnic group",2320
Watlington,European or Other (including New Zealander),2090
Watlington,Maori,250
Watlington,Pacific,60
Watlington,Asian,110
Watlington,Middle Eastern/Latin American/African,10
Timaru Central,"Total people, ethnic group",430
Timaru Central,European or Other (including New Zealander),320
Timaru Central,Maori,60
Timaru Central,Pacific,40
Timaru Central,Asian,50
Timaru Central,Middle Eastern/Latin American/African,0
Timaru East,"Total people, ethnic group",310
Timaru East,European or Other (including New Zealander),230
Timaru East,Maori,40
Timaru East,Pacific,20
Timaru East,Asian,50
Timaru East,Middle Eastern/Latin American/African,0
Parkside,"Total people, ethnic group",2450
Parkside,European or Other (including New Zealander),2160
Parkside,Maori,300
Parkside,Pacific,70
Parkside,Asian,140
Parkside,Middle Eastern/Latin American/African,10
Kensington (Timaru district),"Total people, ethnic group",1510
Kensington (Timaru district),European or Other (including New Zealander),1350
Kensington (Timaru district),Maori,180
Kensington (Timaru district),Pacific,50
Kensington (Timaru district),Asian,80
Kensington (Timaru district),Middle Eastern/Latin American/African,10
Mackenzie Lakes,"Total people, ethnic group",1250
Mackenzie Lakes,European or Other (including New Zealander),910
Mackenzie Lakes,Maori,60
Mackenzie Lakes,Pacific,30
Mackenzie Lakes,Asian,250
Mackenzie Lakes,Middle Eastern/Latin American/African,60
Inland water Lake Pukaki,"Total people, ethnic group",0
Inland water Lake Pukaki,European or Other (including New Zealander),0
Inland water Lake Pukaki,Maori,0
Inland water Lake Pukaki,Pacific,0
Inland water Lake Pukaki,Asian,0
Inland water Lake Pukaki,Middle Eastern/Latin American/African,0
Inland water Lake Tekapo,"Total people, ethnic group",0
Inland water Lake Tekapo,European or Other (including New Zealander),0
Inland water Lake Tekapo,Maori,0
Inland water Lake Tekapo,Pacific,0
Inland water Lake Tekapo,Asian,0
Inland water Lake Tekapo,Middle Eastern/Latin American/African,0
Twizel,"Total people, ethnic group",1530
Twizel,European or Other (including New Zealander),1370
Twizel,Maori,150
Twizel,Pacific,10
Twizel,Asian,120
Twizel,Middle Eastern/Latin American/African,20
Opua (Mackenzie district),"Total people, ethnic group",1410
Opua (Mackenzie district),European or Other (including New Zealander),1360
Opua (Mackenzie district),Maori,80
Opua (Mackenzie district),Pacific,20
Opua (Mackenzie district),Asian,30
Opua (Mackenzie district),Middle Eastern/Latin American/African,10
Fairlie,"Total people, ethnic group",920
Fairlie,European or Other (including New Zealander),820
Fairlie,Maori,70
Fairlie,Pacific,10
Fairlie,Asian,60
Fairlie,Middle Eastern/Latin American/African,10
Hakataramea,"Total people, ethnic group",870
Hakataramea,European or Other (including New Zealander),830
Hakataramea,Maori,40
Hakataramea,Pacific,10
Hakataramea,Asian,30
Hakataramea,Middle Eastern/Latin American/African,0
Maungati,"Total people, ethnic group",770
Maungati,European or Other (including New Zealander),710
Maungati,Maori,50
Maungati,Pacific,10
Maungati,Asian,20
Maungati,Middle Eastern/Latin American/African,20
Lyalldale,"Total people, ethnic group",710
Lyalldale,European or Other (including New Zealander),690
Lyalldale,Maori,70
Lyalldale,Pacific,10
Lyalldale,Asian,20
Lyalldale,Middle Eastern/Latin American/African,0
Makikihi-Willowbridge,"Total people, ethnic group",1050
Makikihi-Willowbridge,European or Other (including New Zealander),950
Makikihi-Willowbridge,Maori,70
Makikihi-Willowbridge,Pacific,20
Makikihi-Willowbridge,Asian,60
Makikihi-Willowbridge,Middle Eastern/Latin American/African,0
Waimate North,"Total people, ethnic group",520
Waimate North,European or Other (including New Zealander),510
Waimate North,Maori,20
Waimate North,Pacific,0
Waimate North,Asian,0
Waimate North,Middle Eastern/Latin American/African,0
Morven-Glenavy-Ikawai,"Total people, ethnic group",1140
Morven-Glenavy-Ikawai,European or Other (including New Zealander),860
Morven-Glenavy-Ikawai,Maori,100
Morven-Glenavy-Ikawai,Pacific,10
Morven-Glenavy-Ikawai,Asian,220
Morven-Glenavy-Ikawai,Middle Eastern/Latin American/African,20
Waimate West,"Total people, ethnic group",1380
Waimate West,European or Other (including New Zealander),1310
Waimate West,Maori,120
Waimate West,Pacific,20
Waimate West,Asian,30
Waimate West,Middle Eastern/Latin American/African,0
Waimate East,"Total people, ethnic group",1670
Waimate East,European or Other (including New Zealander),1580
Waimate East,Maori,130
Waimate East,Pacific,20
Waimate East,Asian,40
Waimate East,Middle Eastern/Latin American/African,0
Oceanic Chatham Islands,"Total people, ethnic group",0
Oceanic Chatham Islands,European or Other (including New Zealander),0
Oceanic Chatham Islands,Maori,0
Oceanic Chatham Islands,Pacific,0
Oceanic Chatham Islands,Asian,0
Oceanic Chatham Islands,Middle Eastern/Latin American/African,0
Chatham Islands,"Total people, ethnic group",690
Chatham Islands,European or Other (including New Zealander),510
Chatham Islands,Maori,450
Chatham Islands,Pacific,10
Chatham Islands,Asian,10
Chatham Islands,Middle Eastern/Latin American/African,0
Aviemore,"Total people, ethnic group",800
Aviemore,European or Other (including New Zealander),700
Aviemore,Maori,50
Aviemore,Pacific,10
Aviemore,Asian,70
Aviemore,Middle Eastern/Latin American/African,0
Inland water Lake Ohau,"Total people, ethnic group",0
Inland water Lake Ohau,European or Other (including New Zealander),0
Inland water Lake Ohau,Maori,0
Inland water Lake Ohau,Pacific,0
Inland water Lake Ohau,Asian,0
Inland water Lake Ohau,Middle Eastern/Latin American/African,0
Danseys Pass,"Total people, ethnic group",1010
Danseys Pass,European or Other (including New Zealander),880
Danseys Pass,Maori,100
Danseys Pass,Pacific,0
Danseys Pass,Asian,90
Danseys Pass,Middle Eastern/Latin American/African,10
Ngapara,"Total people, ethnic group",1880
Ngapara,European or Other (including New Zealander),1600
Ngapara,Maori,130
Ngapara,Pacific,10
Ngapara,Asian,240
Ngapara,Middle Eastern/Latin American/African,20
Lower Waitaki,"Total people, ethnic group",1420
Lower Waitaki,European or Other (including New Zealander),1280
Lower Waitaki,Maori,110
Lower Waitaki,Pacific,20
Lower Waitaki,Asian,90
Lower Waitaki,Middle Eastern/Latin American/African,20
Waihemo,"Total people, ethnic group",1370
Waihemo,European or Other (including New Zealander),1270
Waihemo,Maori,130
Waihemo,Pacific,10
Waihemo,Asian,40
Waihemo,Middle Eastern/Latin American/African,0
Maheno,"Total people, ethnic group",2010
Maheno,European or Other (including New Zealander),1920
Maheno,Maori,140
Maheno,Pacific,20
Maheno,Asian,60
Maheno,Middle Eastern/Latin American/African,0
Weston,"Total people, ethnic group",1070
Weston,European or Other (including New Zealander),1030
Weston,Maori,80
Weston,Pacific,10
Weston,Asian,30
Weston,Middle Eastern/Latin American/African,0
Oamaru North Milner Park,"Total people, ethnic group",2590
Oamaru North Milner Park,European or Other (including New Zealander),2290
Oamaru North Milner Park,Maori,240
Oamaru North Milner Park,Pacific,140
Oamaru North Milner Park,Asian,130
Oamaru North Milner Park,Middle Eastern/Latin American/African,10
Oamaru North Orana Park,"Total people, ethnic group",2980
Oamaru North Orana Park,European or Other (including New Zealander),2460
Oamaru North Orana Park,Maori,250
Oamaru North Orana Park,Pacific,310
Oamaru North Orana Park,Asian,190
Oamaru North Orana Park,Middle Eastern/Latin American/African,10
Oamaru Gardens,"Total people, ethnic group",1210
Oamaru Gardens,European or Other (including New Zealander),1090
Oamaru Gardens,Maori,100
Oamaru Gardens,Pacific,40
Oamaru Gardens,Asian,50
Oamaru Gardens,Middle Eastern/Latin American/African,10
Glen Warren,"Total people, ethnic group",1680
Glen Warren,European or Other (including New Zealander),1390
Glen Warren,Maori,140
Glen Warren,Pacific,160
Glen Warren,Asian,110
Glen Warren,Middle Eastern/Latin American/African,20
Holmes Hill,"Total people, ethnic group",1370
Holmes Hill,European or Other (including New Zealander),1280
Holmes Hill,Maori,100
Holmes Hill,Pacific,30
Holmes Hill,Asian,50
Holmes Hill,Middle Eastern/Latin American/African,10
Oamaru Central,"Total people, ethnic group",300
Oamaru Central,European or Other (including New Zealander),240
Oamaru Central,Maori,30
Oamaru Central,Pacific,30
Oamaru Central,Asian,30
Oamaru Central,Middle Eastern/Latin American/African,0
South Hill,"Total people, ethnic group",2250
South Hill,European or Other (including New Zealander),1990
South Hill,Maori,220
South Hill,Pacific,110
South Hill,Asian,110
South Hill,Middle Eastern/Latin American/African,10
Inlet Port Oamaru,"Total people, ethnic group",0
Inlet Port Oamaru,European or Other (including New Zealander),0
Inlet Port Oamaru,Maori,0
Inlet Port Oamaru,Pacific,0
Inlet Port Oamaru,Asian,0
Inlet Port Oamaru,Middle Eastern/Latin American/African,0
Palmerston,"Total people, ethnic group",980
Palmerston,European or Other (including New Zealander),900
Palmerston,Maori,160
Palmerston,Pacific,20
Palmerston,Asian,20
Palmerston,Middle Eastern/Latin American/African,10
Lindis-Nevis Valleys,"Total people, ethnic group",2480
Lindis-Nevis Valleys,European or Other (including New Zealander),2390
Lindis-Nevis Valleys,Maori,140
Lindis-Nevis Valleys,Pacific,50
Lindis-Nevis Valleys,Asian,50
Lindis-Nevis Valleys,Middle Eastern/Latin American/African,20
Cromwell West,"Total people, ethnic group",3170
Cromwell West,European or Other (including New Zealander),2870
Cromwell West,Maori,310
Cromwell West,Pacific,80
Cromwell West,Asian,130
Cromwell West,Middle Eastern/Latin American/African,50
Cromwell East,"Total people, ethnic group",2660
Cromwell East,European or Other (including New Zealander),2420
Cromwell East,Maori,230
Cromwell East,Pacific,50
Cromwell East,Asian,120
Cromwell East,Middle Eastern/Latin American/African,30
Manuherikia-Ida Valleys,"Total people, ethnic group",1150
Manuherikia-Ida Valleys,European or Other (including New Zealander),1080
Manuherikia-Ida Valleys,Maori,100
Manuherikia-Ida Valleys,Pacific,10
Manuherikia-Ida Valleys,Asian,20
Manuherikia-Ida Valleys,Middle Eastern/Latin American/African,10
Earnscleugh,"Total people, ethnic group",730
Earnscleugh,European or Other (including New Zealander),660
Earnscleugh,Maori,40
Earnscleugh,Pacific,60
Earnscleugh,Asian,20
Earnscleugh,Middle Eastern/Latin American/African,0
Dunstan-Galloway,"Total people, ethnic group",1740
Dunstan-Galloway,European or Other (including New Zealander),1670
Dunstan-Galloway,Maori,100
Dunstan-Galloway,Pacific,30
Dunstan-Galloway,Asian,20
Dunstan-Galloway,Middle Eastern/Latin American/African,10
Clyde,"Total people, ethnic group",1180
Clyde,European or Other (including New Zealander),1130
Clyde,Maori,70
Clyde,Pacific,20
Clyde,Asian,30
Clyde,Middle Eastern/Latin American/African,0
Alexandra North,"Total people, ethnic group",2920
Alexandra North,European or Other (including New Zealander),2730
Alexandra North,Maori,330
Alexandra North,Pacific,50
Alexandra North,Asian,80
Alexandra North,Middle Eastern/Latin American/African,10
Alexandra South,"Total people, ethnic group",2710
Alexandra South,European or Other (including New Zealander),2540
Alexandra South,Maori,230
Alexandra South,Pacific,40
Alexandra South,Asian,70
Alexandra South,Middle Eastern/Latin American/African,10
Maniototo,"Total people, ethnic group",1660
Maniototo,European or Other (including New Zealander),1510
Maniototo,Maori,160
Maniototo,Pacific,10
Maniototo,Asian,90
Maniototo,Middle Eastern/Latin American/African,10
Teviot Valley,"Total people, ethnic group",1820
Teviot Valley,European or Other (including New Zealander),1590
Teviot Valley,Maori,190
Teviot Valley,Pacific,150
Teviot Valley,Asian,40
Teviot Valley,Middle Eastern/Latin American/African,0
Outer Wanaka,"Total people, ethnic group",410
Outer Wanaka,European or Other (including New Zealander),400
Outer Wanaka,Maori,40
Outer Wanaka,Pacific,0
Outer Wanaka,Asian,0
Outer Wanaka,Middle Eastern/Latin American/African,0
Glenorchy,"Total people, ethnic group",500
Glenorchy,European or Other (including New Zealander),460
Glenorchy,Maori,30
Glenorchy,Pacific,10
Glenorchy,Asian,30
Glenorchy,Middle Eastern/Latin American/African,10
Inland water Lake Wanaka,"Total people, ethnic group",0
Inland water Lake Wanaka,European or Other (including New Zealander),0
Inland water Lake Wanaka,Maori,0
Inland water Lake Wanaka,Pacific,0
Inland water Lake Wanaka,Asian,0
Inland water Lake Wanaka,Middle Eastern/Latin American/African,0
Outer Wakatipu,"Total people, ethnic group",860
Outer Wakatipu,European or Other (including New Zealander),820
Outer Wakatipu,Maori,50
Outer Wakatipu,Pacific,10
Outer Wakatipu,Asian,20
Outer Wakatipu,Middle Eastern/Latin American/African,10
Inland water Lake Hawea,"Total people, ethnic group",0
Inland water Lake Hawea,European or Other (including New Zealander),0
Inland water Lake Hawea,Maori,0
Inland water Lake Hawea,Pacific,0
Inland water Lake Hawea,Asian,0
Inland water Lake Hawea,Middle Eastern/Latin American/African,0
Cardrona,"Total people, ethnic group",670
Cardrona,European or Other (including New Zealander),650
Cardrona,Maori,30
Cardrona,Pacific,10
Cardrona,Asian,10
Cardrona,Middle Eastern/Latin American/African,10
Inland water Lake Wakatipu,"Total people, ethnic group",0
Inland water Lake Wakatipu,European or Other (including New Zealander),0
Inland water Lake Wakatipu,Maori,0
Inland water Lake Wakatipu,Pacific,0
Inland water Lake Wakatipu,Asian,0
Inland water Lake Wakatipu,Middle Eastern/Latin American/African,0
Wanaka Waterfront,"Total people, ethnic group",2270
Wanaka Waterfront,European or Other (including New Zealander),2100
Wanaka Waterfront,Maori,100
Wanaka Waterfront,Pacific,20
Wanaka Waterfront,Asian,150
Wanaka Waterfront,Middle Eastern/Latin American/African,30
Wanaka North,"Total people, ethnic group",2620
Wanaka North,European or Other (including New Zealander),2420
Wanaka North,Maori,150
Wanaka North,Pacific,20
Wanaka North,Asian,110
Wanaka North,Middle Eastern/Latin American/African,70
Wanaka West,"Total people, ethnic group",1840
Wanaka West,European or Other (including New Zealander),1750
Wanaka West,Maori,60
Wanaka West,Pacific,10
Wanaka West,Asian,60
Wanaka West,Middle Eastern/Latin American/African,30
Albert Town,"Total people, ethnic group",2140
Albert Town,European or Other (including New Zealander),2070
Albert Town,Maori,150
Albert Town,Pacific,10
Albert Town,Asian,40
Albert Town,Middle Eastern/Latin American/African,30
Wanaka Central,"Total people, ethnic group",1370
Wanaka Central,European or Other (including New Zealander),1200
Wanaka Central,Maori,70
Wanaka Central,Pacific,0
Wanaka Central,Asian,130
Wanaka Central,Middle Eastern/Latin American/African,20
Lake Hawea,"Total people, ethnic group",1270
Lake Hawea,European or Other (including New Zealander),1210
Lake Hawea,Maori,110
Lake Hawea,Pacific,0
Lake Hawea,Asian,40
Lake Hawea,Middle Eastern/Latin American/African,10
Upper Clutha Valley,"Total people, ethnic group",1310
Upper Clutha Valley,European or Other (including New Zealander),1250
Upper Clutha Valley,Maori,110
Upper Clutha Valley,Pacific,0
Upper Clutha Valley,Asian,40
Upper Clutha Valley,Middle Eastern/Latin American/African,10
Kingston,"Total people, ethnic group",360
Kingston,European or Other (including New Zealander),340
Kingston,Maori,20
Kingston,Pacific,10
Kingston,Asian,10
Kingston,Middle Eastern/Latin American/African,0
Arthurs Point,"Total people, ethnic group",1210
Arthurs Point,European or Other (including New Zealander),1100
Arthurs Point,Maori,70
Arthurs Point,Pacific,20
Arthurs Point,Asian,80
Arthurs Point,Middle Eastern/Latin American/African,40
Wakatipu Basin,"Total people, ethnic group",1460
Wakatipu Basin,European or Other (including New Zealander),1380
Wakatipu Basin,Maori,50
Wakatipu Basin,Pacific,0
Wakatipu Basin,Asian,40
Wakatipu Basin,Middle Eastern/Latin American/African,40
Queenstown Hill,"Total people, ethnic group",0
Queenstown Hill,European or Other (including New Zealander),0
Queenstown Hill,Maori,0
Queenstown Hill,Pacific,0
Queenstown Hill,Asian,0
Queenstown Hill,Middle Eastern/Latin American/African,0
Warren Park,"Total people, ethnic group",1710
Warren Park,European or Other (including New Zealander),1120
Warren Park,Maori,50
Warren Park,Pacific,10
Warren Park,Asian,350
Warren Park,Middle Eastern/Latin American/African,250
Sunshine Bay-Fernhill,"Total people, ethnic group",3280
Sunshine Bay-Fernhill,European or Other (including New Zealander),2410
Sunshine Bay-Fernhill,Maori,180
Sunshine Bay-Fernhill,Pacific,40
Sunshine Bay-Fernhill,Asian,530
Sunshine Bay-Fernhill,Middle Eastern/Latin American/African,320
Arrowtown,"Total people, ethnic group",2970
Arrowtown,European or Other (including New Zealander),2710
Arrowtown,Maori,180
Arrowtown,Pacific,40
Arrowtown,Asian,160
Arrowtown,Middle Eastern/Latin American/African,70
Quail Rise,"Total people, ethnic group",770
Quail Rise,European or Other (including New Zealander),680
Quail Rise,Maori,30
Quail Rise,Pacific,10
Quail Rise,Asian,80
Quail Rise,Middle Eastern/Latin American/African,20
Queenstown Central,"Total people, ethnic group",1180
Queenstown Central,European or Other (including New Zealander),680
Queenstown Central,Maori,30
Queenstown Central,Pacific,10
Queenstown Central,Asian,320
Queenstown Central,Middle Eastern/Latin American/African,170
Queenstown East,"Total people, ethnic group",1600
Queenstown East,European or Other (including New Zealander),1190
Queenstown East,Maori,40
Queenstown East,Pacific,10
Queenstown East,Asian,310
Queenstown East,Middle Eastern/Latin American/African,120
Frankton Arm,"Total people, ethnic group",2190
Frankton Arm,European or Other (including New Zealander),1550
Frankton Arm,Maori,110
Frankton Arm,Pacific,30
Frankton Arm,Asian,430
Frankton Arm,Middle Eastern/Latin American/African,220
Frankton,"Total people, ethnic group",3180
Frankton,European or Other (including New Zealander),2160
Frankton,Maori,140
Frankton,Pacific,70
Frankton,Asian,670
Frankton,Middle Eastern/Latin American/African,300
Lake Hayes,"Total people, ethnic group",380
Lake Hayes,European or Other (including New Zealander),360
Lake Hayes,Maori,20
Lake Hayes,Pacific,0
Lake Hayes,Asian,10
Lake Hayes,Middle Eastern/Latin American/African,0
Kelvin Heights,"Total people, ethnic group",1230
Kelvin Heights,European or Other (including New Zealander),1090
Kelvin Heights,Maori,70
Kelvin Heights,Pacific,20
Kelvin Heights,Asian,90
Kelvin Heights,Middle Eastern/Latin American/African,40
Shotover Country,"Total people, ethnic group",2360
Shotover Country,European or Other (including New Zealander),1790
Shotover Country,Maori,150
Shotover Country,Pacific,60
Shotover Country,Asian,350
Shotover Country,Middle Eastern/Latin American/African,180
Lake Hayes Estate,"Total people, ethnic group",2280
Lake Hayes Estate,European or Other (including New Zealander),1900
Lake Hayes Estate,Maori,150
Lake Hayes Estate,Pacific,40
Lake Hayes Estate,Asian,290
Lake Hayes Estate,Middle Eastern/Latin American/African,80
Jacks Point,"Total people, ethnic group",1040
Jacks Point,European or Other (including New Zealander),950
Jacks Point,Maori,40
Jacks Point,Pacific,10
Jacks Point,Asian,60
Jacks Point,Middle Eastern/Latin American/African,20
Strath Taieri,"Total people, ethnic group",690
Strath Taieri,European or Other (including New Zealander),660
Strath Taieri,Maori,70
Strath Taieri,Pacific,0
Strath Taieri,Asian,0
Strath Taieri,Middle Eastern/Latin American/African,0
Bucklands Crossing,"Total people, ethnic group",1520
Bucklands Crossing,European or Other (including New Zealander),1430
Bucklands Crossing,Maori,180
Bucklands Crossing,Pacific,10
Bucklands Crossing,Asian,20
Bucklands Crossing,Middle Eastern/Latin American/African,0
Waikouaiti,"Total people, ethnic group",1230
Waikouaiti,European or Other (including New Zealander),1180
Waikouaiti,Maori,120
Waikouaiti,Pacific,20
Waikouaiti,Asian,30
Waikouaiti,Middle Eastern/Latin American/African,0
Momona,"Total people, ethnic group",2380
Momona,European or Other (including New Zealander),2310
Momona,Maori,200
Momona,Pacific,0
Momona,Asian,40
Momona,Middle Eastern/Latin American/African,10
Taieri,"Total people, ethnic group",1540
Taieri,European or Other (including New Zealander),1500
Taieri,Maori,80
Taieri,Pacific,20
Taieri,Asian,20
Taieri,Middle Eastern/Latin American/African,0
Inlets other Dunedin city,"Total people, ethnic group",0
Inlets other Dunedin city,European or Other (including New Zealander),0
Inlets other Dunedin city,Maori,0
Inlets other Dunedin city,Pacific,0
Inlets other Dunedin city,Asian,0
Inlets other Dunedin city,Middle Eastern/Latin American/African,0
Mount Cargill,"Total people, ethnic group",2070
Mount Cargill,European or Other (including New Zealander),1960
Mount Cargill,Maori,160
Mount Cargill,Pacific,20
Mount Cargill,Asian,50
Mount Cargill,Middle Eastern/Latin American/African,10
Bush Road,"Total people, ethnic group",2410
Bush Road,European or Other (including New Zealander),2320
Bush Road,Maori,150
Bush Road,Pacific,30
Bush Road,Asian,40
Bush Road,Middle Eastern/Latin American/African,10
Mosgiel East,"Total people, ethnic group",2770
Mosgiel East,European or Other (including New Zealander),2660
Mosgiel East,Maori,160
Mosgiel East,Pacific,30
Mosgiel East,Asian,90
Mosgiel East,Middle Eastern/Latin American/African,10
Mosgiel Central,"Total people, ethnic group",2650
Mosgiel Central,European or Other (including New Zealander),2520
Mosgiel Central,Maori,150
Mosgiel Central,Pacific,30
Mosgiel Central,Asian,80
Mosgiel Central,Middle Eastern/Latin American/African,0
Seddon Park,"Total people, ethnic group",2930
Seddon Park,European or Other (including New Zealander),2710
Seddon Park,Maori,270
Seddon Park,Pacific,70
Seddon Park,Asian,80
Seddon Park,Middle Eastern/Latin American/African,70
Wingatui,"Total people, ethnic group",910
Wingatui,European or Other (including New Zealander),860
Wingatui,Maori,80
Wingatui,Pacific,10
Wingatui,Asian,20
Wingatui,Middle Eastern/Latin American/African,10
Saddle Hill-Chain Hills,"Total people, ethnic group",1250
Saddle Hill-Chain Hills,European or Other (including New Zealander),1190
Saddle Hill-Chain Hills,Maori,60
Saddle Hill-Chain Hills,Pacific,10
Saddle Hill-Chain Hills,Asian,20
Saddle Hill-Chain Hills,Middle Eastern/Latin American/African,10
East Taieri,"Total people, ethnic group",2240
East Taieri,European or Other (including New Zealander),2130
East Taieri,Maori,150
East Taieri,Pacific,30
East Taieri,Asian,70
East Taieri,Middle Eastern/Latin American/African,20
Halfway Bush,"Total people, ethnic group",1880
Halfway Bush,European or Other (including New Zealander),1690
Halfway Bush,Maori,170
Halfway Bush,Pacific,100
Halfway Bush,Asian,100
Halfway Bush,Middle Eastern/Latin American/African,30
Helensburgh,"Total people, ethnic group",1220
Helensburgh,European or Other (including New Zealander),1110
Helensburgh,Maori,90
Helensburgh,Pacific,20
Helensburgh,Asian,100
Helensburgh,Middle Eastern/Latin American/African,10
Glenleith,"Total people, ethnic group",1290
Glenleith,European or Other (including New Zealander),1110
Glenleith,Maori,120
Glenleith,Pacific,50
Glenleith,Asian,120
Glenleith,Middle Eastern/Latin American/African,30
Fairfield (Dunedin city),"Total people, ethnic group",2580
Fairfield (Dunedin city),European or Other (including New Zealander),2420
Fairfield (Dunedin city),Maori,180
Fairfield (Dunedin city),Pacific,30
Fairfield (Dunedin city),Asian,110
Fairfield (Dunedin city),Middle Eastern/Latin American/African,20
Inlet Otago Harbour,"Total people, ethnic group",0
Inlet Otago Harbour,European or Other (including New Zealander),0
Inlet Otago Harbour,Maori,0
Inlet Otago Harbour,Pacific,0
Inlet Otago Harbour,Asian,0
Inlet Otago Harbour,Middle Eastern/Latin American/African,0
Brockville,"Total people, ethnic group",2490
Brockville,European or Other (including New Zealander),1990
Brockville,Maori,350
Brockville,Pacific,170
Brockville,Asian,160
Brockville,Middle Eastern/Latin American/African,110
Wakari,"Total people, ethnic group",4260
Wakari,European or Other (including New Zealander),3660
Wakari,Maori,410
Wakari,Pacific,120
Wakari,Asian,390
Wakari,Middle Eastern/Latin American/African,80
Abbotsford,"Total people, ethnic group",2900
Abbotsford,European or Other (including New Zealander),2750
Abbotsford,Maori,260
Abbotsford,Pacific,50
Abbotsford,Asian,80
Abbotsford,Middle Eastern/Latin American/African,10
Brighton,"Total people, ethnic group",1520
Brighton,European or Other (including New Zealander),1450
Brighton,Maori,160
Brighton,Pacific,20
Brighton,Asian,50
Brighton,Middle Eastern/Latin American/African,10
Pine Hill-Dalmore,"Total people, ethnic group",2390
Pine Hill-Dalmore,European or Other (including New Zealander),2060
Pine Hill-Dalmore,Maori,250
Pine Hill-Dalmore,Pacific,110
Pine Hill-Dalmore,Asian,220
Pine Hill-Dalmore,Middle Eastern/Latin American/African,60
Kaikorai-Bradford,"Total people, ethnic group",1230
Kaikorai-Bradford,European or Other (including New Zealander),1060
Kaikorai-Bradford,Maori,130
Kaikorai-Bradford,Pacific,60
Kaikorai-Bradford,Asian,90
Kaikorai-Bradford,Middle Eastern/Latin American/African,20
Maori Hill,"Total people, ethnic group",2530
Maori Hill,European or Other (including New Zealander),2230
Maori Hill,Maori,160
Maori Hill,Pacific,40
Maori Hill,Asian,290
Maori Hill,Middle Eastern/Latin American/African,20
Roslyn (Dunedin city),"Total people, ethnic group",3170
